"Longitude","Latitude","HabitatSuitability"
49.125,30.125,1.28617987371626e-08
49.375,30.125,0.000152568041812629
49.875,30.125,1.66611710539222e-10
48.375,29.875,0.000115483620902523
48.625,29.875,9.40425343287643e-06
48.875,29.875,3.00356987281702e-07
49.125,29.875,1.62417936877546e-08
49.375,29.875,0.0040896269492805
49.625,29.875,4.71464230503149e-12
49.875,29.875,2.22044604925031e-16
50.125,29.875,2.22044604925031e-16
32.375,29.625,2.22044604925031e-16
32.625,29.625,2.22044604925031e-16
48.375,29.625,2.26189672503097e-06
48.625,29.625,3.46423774999494e-07
48.875,29.625,1.20542424042469e-07
49.125,29.625,0.0415106602013111
49.375,29.625,3.94508752922518e-13
49.625,29.625,2.22044604925031e-16
49.875,29.625,2.22044604925031e-16
50.125,29.625,2.22044604925031e-16
50.375,29.625,2.22044604925031e-16
32.625,29.375,2.22044604925031e-16
34.875,29.375,2.22044604925031e-16
47.875,29.375,1.59062256699372e-08
48.125,29.375,1.02663875622966e-07
48.375,29.375,2.76999259085642e-08
48.625,29.375,6.53549605544868e-08
48.875,29.375,0.0152311101555824
49.125,29.375,2.22044604925031e-16
49.375,29.375,2.22044604925031e-16
49.625,29.375,2.22044604925031e-16
49.875,29.375,2.22044604925031e-16
50.125,29.375,2.22044604925031e-16
50.375,29.375,2.22044604925031e-16
50.625,29.375,2.22044604925031e-16
32.875,29.125,2.22044604925031e-16
34.875,29.125,2.22044604925031e-16
48.375,29.125,5.65689742870745e-06
48.625,29.125,0.000794494058936834
48.875,29.125,0.000974714639596641
49.125,29.125,2.22044604925031e-16
49.375,29.125,2.22044604925031e-16
49.625,29.125,2.22044604925031e-16
49.875,29.125,2.22044604925031e-16
50.125,29.125,2.22044604925031e-16
50.375,29.125,2.22044604925031e-16
50.625,29.125,2.22044604925031e-16
32.875,28.875,2.22044604925031e-16
33.125,28.875,2.22044604925031e-16
48.375,28.875,0.000812723825220019
48.625,28.875,1.49848519868101e-05
48.875,28.875,2.22044604925031e-16
49.125,28.875,2.22044604925031e-16
49.375,28.875,2.22044604925031e-16
49.625,28.875,2.22044604925031e-16
49.875,28.875,2.22044604925031e-16
50.125,28.875,2.22044604925031e-16
50.375,28.875,2.22044604925031e-16
50.625,28.875,2.22044604925031e-16
32.875,28.625,2.22044604925031e-16
33.125,28.625,2.22044604925031e-16
34.625,28.625,2.22044604925031e-16
48.625,28.625,0.000691320165060461
48.875,28.625,2.22044604925031e-16
49.125,28.625,2.22044604925031e-16
49.375,28.625,2.22044604925031e-16
49.625,28.625,2.22044604925031e-16
49.875,28.625,2.22044604925031e-16
50.125,28.625,2.22044604925031e-16
50.375,28.625,2.22044604925031e-16
50.625,28.625,2.22044604925031e-16
50.875,28.625,2.22044604925031e-16
33.125,28.375,2.22044604925031e-16
33.375,28.375,2.22044604925031e-16
34.625,28.375,2.22044604925031e-16
48.625,28.375,0.107228465378284
48.875,28.375,2.5411629849259e-06
49.125,28.375,2.22044604925031e-16
49.375,28.375,2.22044604925031e-16
49.625,28.375,2.22044604925031e-16
49.875,28.375,2.22044604925031e-16
50.125,28.375,2.22044604925031e-16
50.375,28.375,2.22044604925031e-16
50.625,28.375,2.22044604925031e-16
50.875,28.375,2.22044604925031e-16
51.125,28.375,2.22044604925031e-16
33.375,28.125,2.22044604925031e-16
33.625,28.125,2.22044604925031e-16
48.625,28.125,0.0470832660794258
48.875,28.125,0.00281953462399542
49.125,28.125,5.87588644407333e-08
49.375,28.125,2.22044604925031e-16
