"Longitude","Latitude","HabitatSuitability"
49.125,30.125,1.46782567753689e-05
49.375,30.125,2.22044604925031e-16
49.875,30.125,2.22044604925031e-16
48.375,29.875,2.22044604925031e-16
48.625,29.875,0.0706081539392471
48.875,29.875,0.923674881458282
49.125,29.875,0.002155622234568
49.375,29.875,2.22044604925031e-16
49.625,29.875,2.22044604925031e-16
49.875,29.875,2.22044604925031e-16
50.125,29.875,2.22044604925031e-16
32.375,29.625,2.22044604925031e-16
32.625,29.625,2.22044604925031e-16
48.375,29.625,0.00531364884227514
48.625,29.625,0.9086993932724
48.875,29.625,2.22044604925031e-16
49.125,29.625,2.22044604925031e-16
49.375,29.625,2.22044604925031e-16
49.625,29.625,2.22044604925031e-16
49.875,29.625,2.22044604925031e-16
50.125,29.625,2.22044604925031e-16
50.375,29.625,2.22044604925031e-16
32.625,29.375,2.22044604925031e-16
34.875,29.375,2.22044604925031e-16
47.875,29.375,0.461606979370117
48.125,29.375,0.951811492443085
48.375,29.375,0.638204455375671
48.625,29.375,0.875114858150482
48.875,29.375,2.68242006384867e-09
49.125,29.375,2.22044604925031e-16
49.375,29.375,2.22044604925031e-16
49.625,29.375,2.22044604925031e-16
49.875,29.375,2.22044604925031e-16
50.125,29.375,2.22044604925031e-16
50.375,29.375,2.22044604925031e-16
50.625,29.375,2.22044604925031e-16
32.875,29.125,2.22044604925031e-16
34.875,29.125,2.22044604925031e-16
48.375,29.125,0.0883378535509109
48.625,29.125,4.04566158351827e-08
48.875,29.125,2.22044604925031e-16
49.125,29.125,2.22044604925031e-16
49.375,29.125,2.22044604925031e-16
49.625,29.125,2.22044604925031e-16
49.875,29.125,2.22044604925031e-16
50.125,29.125,2.22044604925031e-16
50.375,29.125,2.22044604925031e-16
50.625,29.125,2.22044604925031e-16
32.875,28.875,2.22044604925031e-16
33.125,28.875,2.22044604925031e-16
48.375,28.875,2.53623738899478e-07
48.625,28.875,2.22044604925031e-16
48.875,28.875,2.22044604925031e-16
49.125,28.875,2.22044604925031e-16
49.375,28.875,2.22044604925031e-16
49.625,28.875,2.22044604925031e-16
49.875,28.875,2.22044604925031e-16
50.125,28.875,2.22044604925031e-16
50.375,28.875,2.22044604925031e-16
50.625,28.875,2.22044604925031e-16
32.875,28.625,2.22044604925031e-16
33.125,28.625,2.22044604925031e-16
34.625,28.625,2.22044604925031e-16
48.625,28.625,2.22044604925031e-16
48.875,28.625,2.22044604925031e-16
49.125,28.625,2.22044604925031e-16
49.375,28.625,2.22044604925031e-16
49.625,28.625,2.22044604925031e-16
49.875,28.625,2.22044604925031e-16
50.125,28.625,2.22044604925031e-16
50.375,28.625,2.22044604925031e-16
50.625,28.625,2.22044604925031e-16
50.875,28.625,2.22044604925031e-16
33.125,28.375,2.22044604925031e-16
33.375,28.375,2.22044604925031e-16
