"Longitude","Latitude","HabitatSuitability"
-179.875,39.875,7.79701991859838e-08
-179.625,39.875,9.32950712240199e-08
-179.375,39.875,9.79976704229557e-08
-179.125,39.875,1.3561270995055e-09
-178.875,39.875,1.45019926622858e-10
-178.625,39.875,1.92945268651101e-08
-178.375,39.875,2.73911897608059e-08
-178.125,39.875,1.12703846255613e-08
-177.875,39.875,7.49829176527328e-09
-177.625,39.875,2.79900236321851e-09
-177.375,39.875,2.93805024753624e-09
-177.125,39.875,4.19211332314262e-09
-176.875,39.875,3.14560932856978e-09
-176.625,39.875,3.36560135316688e-09
-176.375,39.875,2.56796095499112e-09
-176.125,39.875,1.4423292560295e-09
-175.875,39.875,1.52936296959894e-09
-175.625,39.875,1.35867717077076e-09
-175.375,39.875,9.32162791400515e-10
-175.125,39.875,1.04460895489211e-09
-174.875,39.875,1.08389242026163e-09
-174.625,39.875,1.19888476923791e-09
-174.375,39.875,8.36732794162742e-10
-174.125,39.875,8.31611834950508e-10
-173.875,39.875,1.02211794583695e-09
-173.625,39.875,8.53331738603913e-10
-173.375,39.875,1.62886282240038e-09
-173.125,39.875,1.91845606067886e-09
-172.875,39.875,1.1385835607669e-09
-172.625,39.875,1.0833905994545e-09
-172.375,39.875,1.03416819552393e-09
-172.125,39.875,1.00590147322777e-09
-171.875,39.875,1.3595444769976e-09
-171.625,39.875,8.28574764355494e-10
-171.375,39.875,5.2812015871595e-10
-171.125,39.875,5.66362845511037e-10
-170.875,39.875,5.07768216362336e-10
-170.625,39.875,3.21492582555649e-10
-170.375,39.875,6.49924225548659e-10
-170.125,39.875,3.75053404999548e-10
-169.875,39.875,2.0257316657446e-10
-169.625,39.875,2.19388021638345e-10
-169.375,39.875,1.94871868641755e-10
-169.125,39.875,2.0380984400159e-10
-168.875,39.875,2.84637174940983e-10
-168.625,39.875,4.72526184847055e-10
-168.375,39.875,5.29526589243545e-10
-168.125,39.875,3.81973036533978e-10
-167.875,39.875,3.04940045436908e-10
-167.625,39.875,6.35508534685414e-10
-167.375,39.875,6.63469390538296e-10
-167.125,39.875,6.66287525152853e-10
-166.875,39.875,3.24203969226389e-10
-166.625,39.875,3.50452972197601e-10
-166.375,39.875,6.4220706530449e-10
-166.125,39.875,3.03697955672533e-10
-165.875,39.875,3.06189823495728e-10
-165.625,39.875,3.44832828957919e-10
-165.375,39.875,3.09200276493726e-10
-165.125,39.875,3.78416964430528e-10
-164.875,39.875,4.28611340863583e-10
-164.625,39.875,2.26234322941998e-10
-164.375,39.875,4.71436056859176e-10
-164.125,39.875,3.50411921701266e-10
-163.875,39.875,4.38989122830691e-10
-163.625,39.875,6.82799428108893e-10
-163.375,39.875,5.58360302438388e-10
-163.125,39.875,4.57707122203388e-10
-162.875,39.875,5.06768738084418e-10
-162.625,39.875,5.78003422901929e-10
-162.375,39.875,3.59683255402032e-10
-162.125,39.875,2.06170899796909e-10
-161.875,39.875,2.5811178194779e-10
-161.625,39.875,1.7884270453461e-10
-161.375,39.875,1.57296370373317e-10
-161.125,39.875,1.93223492761518e-10
-160.875,39.875,2.41980879778225e-10
-160.625,39.875,3.44457434797718e-10
-160.375,39.875,5.92948801170223e-10
-160.125,39.875,8.26058443870181e-10
-159.875,39.875,4.48568099331581e-10
-159.625,39.875,5.63234570094551e-10
-159.375,39.875,7.52156004146798e-10
-159.125,39.875,9.75904801414629e-10
-158.875,39.875,9.32616983639889e-10
-158.625,39.875,8.14590894737677e-10
-158.375,39.875,1.11861275797764e-09
-158.125,39.875,7.46586181765707e-10
-157.875,39.875,5.82851988895072e-10
-157.625,39.875,5.34419342113068e-10
-157.375,39.875,4.19845658239382e-10
-157.125,39.875,6.16508788464643e-10
-156.875,39.875,5.37742572692679e-10
