"Longitude","Latitude","HabitatChange"
-67.125,44.875,0
-66.875,44.875,0
-66.625,44.875,0
-66.375,44.875,0
-66.125,44.875,0
-65.875,44.875,0
-65.625,44.875,0
-65.375,44.875,0
-62.625,44.875,0
-62.375,44.875,0
-62.125,44.875,0
-61.875,44.875,0
-61.625,44.875,0
-61.375,44.875,0
-61.125,44.875,0
-60.875,44.875,0
-60.625,44.875,0
-60.375,44.875,0
-60.125,44.875,0
-59.875,44.875,0
-59.625,44.875,0
-59.375,44.875,0
-59.125,44.875,0
-58.875,44.875,0
-58.625,44.875,0
-58.375,44.875,0
-58.125,44.875,0
-57.875,44.875,0
-57.625,44.875,0
-57.375,44.875,0
-57.125,44.875,0
-56.875,44.875,0
-56.625,44.875,0
-56.375,44.875,0
-56.125,44.875,0
-55.875,44.875,0
-55.625,44.875,0
-55.375,44.875,0
-55.125,44.875,0
-54.875,44.875,0
-54.625,44.875,0
-54.375,44.875,0
-54.125,44.875,0
-53.875,44.875,0
-53.625,44.875,0
-53.375,44.875,0
-53.125,44.875,0
-52.875,44.875,0
-52.625,44.875,0
-52.375,44.875,0
-52.125,44.875,0
-51.875,44.875,0
-51.625,44.875,0
-51.375,44.875,0
-51.125,44.875,0
-50.875,44.875,0
-50.625,44.875,0
-50.375,44.875,0
-50.125,44.875,0
-49.875,44.875,0
-49.625,44.875,0
-49.375,44.875,0
-49.125,44.875,0
-48.875,44.875,0
-48.625,44.875,0
-48.375,44.875,0
-48.125,44.875,0
-47.875,44.875,0
-47.625,44.875,0
-47.375,44.875,0
-47.125,44.875,0
-46.875,44.875,0
-46.625,44.875,0
-46.375,44.875,0
-46.125,44.875,0
-45.875,44.875,0
-45.625,44.875,0
-45.375,44.875,0
-45.125,44.875,0
-44.875,44.875,0
-44.625,44.875,0
-44.375,44.875,3.16972983234118e-13
-44.125,44.875,6.15601862020976e-13
-43.875,44.875,1.38491301759913e-12
-43.625,44.875,3.02313989813952e-12
-43.375,44.875,6.74160553770786e-12
-43.125,44.875,1.38890574388761e-11
-42.875,44.875,3.03335898066415e-11
-42.625,44.875,3.55821344610874e-11
-42.375,44.875,5.92220716910674e-11
-42.125,44.875,1.24275145729769e-10
-41.875,44.875,7.67879024254903e-11
-41.625,44.875,4.55669252330537e-11
-41.375,44.875,2.79604603359296e-11
-41.125,44.875,1.44906697752134e-10
-40.875,44.875,1.52725332380754e-11
-40.625,44.875,2.97630323164988e-11
-40.375,44.875,6.05412109333514e-11
-40.125,44.875,4.26017485177788e-11
-39.875,44.875,5.50645813668371e-11
-39.625,44.875,1.71051700581515e-10
-39.375,44.875,2.39081809905173e-10
-39.125,44.875,1.99804311984408e-10
-38.875,44.875,1.24098120668492e-10
-38.625,44.875,1.12337007751595e-10
-38.375,44.875,1.7335992363865e-10
-38.125,44.875,1.75171807614838e-10
-37.875,44.875,1.24871404882931e-10
-37.625,44.875,2.40084341296409e-10
-37.375,44.875,1.08541550747354e-10
-37.125,44.875,7.61356672152047e-11
-36.875,44.875,3.19061055353842e-10
-36.625,44.875,3.55400542328965e-10
-36.375,44.875,8.7388940528399e-10
-36.125,44.875,8.50478798497534e-10
-35.875,44.875,1.24273746848758e-09
-35.625,44.875,2.79749534648488e-09
-35.375,44.875,3.15436410325276e-09
-35.125,44.875,1.57772317432858e-09
-34.875,44.875,9.64922919344247e-10
-34.625,44.875,1.29994537356737e-09
-34.375,44.875,5.18101339608279e-10
-34.125,44.875,4.8949322373204e-10
-33.875,44.875,8.48503267647516e-10
-33.625,44.875,8.11461564609317e-10
-33.375,44.875,4.40354530617526e-10
-33.125,44.875,2.60693161502346e-10
-32.875,44.875,3.31688065902114e-10
-32.625,44.875,1.92653754060856e-10
-32.375,44.875,1.29012467375844e-10
-32.125,44.875,1.28200478011209e-10
-31.875,44.875,8.98698476747839e-11
-31.625,44.875,9.15107781218616e-11
-31.375,44.875,7.23368517863143e-11
-31.125,44.875,5.02120081624646e-11
-30.875,44.875,2.8478903263407e-11
-30.625,44.875,3.70932139170943e-11
-30.375,44.875,3.42169244327284e-11
-30.125,44.875,3.98328210693411e-11
-29.875,44.875,2.00111663350988e-11
-29.625,44.875,2.85690134743666e-11
-29.375,44.875,1.57285226509707e-11
-29.125,44.875,4.33183957454508e-12
-28.875,44.875,1.7974728693318e-12
-28.625,44.875,2.69295328224339e-13
-28.375,44.875,2.0947238626827e-13
-28.125,44.875,2.59862682587542e-12
-27.875,44.875,1.44315101860935e-13
-27.625,44.875,3.07317918942646e-13
-27.375,44.875,1.04762541957432e-12
-27.125,44.875,5.33284874593143e-12
-26.875,44.875,3.86114959449735e-11
-26.625,44.875,2.55912357277621e-11
-26.375,44.875,8.13284162237693e-11
-26.125,44.875,1.34088767866913e-10
-25.875,44.875,8.85106363202048e-11
-25.625,44.875,8.17181045054127e-11
-25.375,44.875,1.57536372835665e-10
-25.125,44.875,2.20265250483465e-10
-24.875,44.875,5.36866141820358e-11
-24.625,44.875,1.59669083510394e-10
-24.375,44.875,6.13543590932686e-11
-24.125,44.875,9.38745053913337e-11
-23.875,44.875,7.14776987598142e-11
-23.625,44.875,1.00447587747521e-10
-23.375,44.875,9.05947192264556e-11
-23.125,44.875,1.25725443944624e-10
-22.875,44.875,2.13002435134335e-10
-22.625,44.875,1.66415256575014e-10
-22.375,44.875,1.09561526517865e-10
-22.125,44.875,8.96121371551928e-11
-21.875,44.875,7.63912197387917e-11
-21.625,44.875,5.37123331922906e-11
-21.375,44.875,4.4016835315519e-11
-21.125,44.875,2.72023393393939e-11
-20.875,44.875,1.2564800762338e-11
-20.625,44.875,5.09759248701336e-12
-20.375,44.875,4.48630846014431e-12
-20.125,44.875,1.71641780649656e-12
-19.875,44.875,9.35699868281903e-12
-19.625,44.875,7.16501641004341e-12
-19.375,44.875,4.46795985625803e-12
-19.125,44.875,2.32033641432705e-12
-18.875,44.875,3.32799434711595e-12
-18.625,44.875,8.24211966038435e-12
-18.375,44.875,2.96448564481022e-12
-18.125,44.875,2.60801840193392e-12
-17.875,44.875,2.11484540817153e-12
-17.625,44.875,2.61662783454519e-12
-17.375,44.875,2.30990899151295e-12
-17.125,44.875,1.48008515166165e-11
-16.875,44.875,2.21516017334666e-11
-16.625,44.875,9.31217256083805e-12
-16.375,44.875,1.33662378040689e-11
-16.125,44.875,1.7955069722686e-11
-15.875,44.875,1.07843950783448e-11
-15.625,44.875,1.20211037304974e-11
-15.375,44.875,1.36624990834666e-11
-15.125,44.875,6.07186436546447e-12
-14.875,44.875,1.95212032302883e-12
-14.625,44.875,1.12331931950704e-12
-14.375,44.875,4.2390028119621e-13
-14.125,44.875,3.69965532818692e-13
-13.875,44.875,1.68856725477062e-12
-13.625,44.875,2.82908158705242e-12
-13.375,44.875,2.33385533121577e-12
-13.125,44.875,2.67419116364853e-12
-12.875,44.875,2.33361658989739e-12
-12.625,44.875,3.28120863812842e-12
-12.375,44.875,2.75891028772568e-12
-12.125,44.875,1.40304163686461e-12
-11.875,44.875,8.50229229468896e-13
-11.625,44.875,2.28017610218526e-13
-11.375,44.875,5.13614649942651e-13
-11.125,44.875,1.41746491389046e-13
-10.875,44.875,0
-10.625,44.875,0
-10.375,44.875,0
-10.125,44.875,0
-9.875,44.875,0
-9.625,44.875,0
-9.375,44.875,0
-9.125,44.875,0
-8.875,44.875,0
-8.625,44.875,0
-8.375,44.875,0
-8.125,44.875,0
-7.875,44.875,0
-7.625,44.875,0
-7.375,44.875,0
-7.125,44.875,0
-6.875,44.875,0
-6.625,44.875,0
-6.375,44.875,0
-6.125,44.875,0
-5.875,44.875,0
-5.625,44.875,0
-5.375,44.875,0
-5.125,44.875,0
-4.875,44.875,0
-4.625,44.875,0
-4.375,44.875,0
-4.125,44.875,0
-3.875,44.875,0
-3.625,44.875,0
-3.375,44.875,0
-3.125,44.875,0
-2.875,44.875,0
-2.625,44.875,0
-2.375,44.875,0
-2.125,44.875,0
-1.875,44.875,0
-1.625,44.875,0
-1.375,44.875,0
-1.125,44.875,0
-67.875,44.625,0
-67.625,44.625,0
-67.375,44.625,0
-67.125,44.625,0
-66.875,44.625,0
-66.625,44.625,0
-66.375,44.625,0
-66.125,44.625,0
-65.875,44.625,0
-64.375,44.625,0
-64.125,44.625,0
-63.875,44.625,0
-63.375,44.625,0
-63.125,44.625,0
-62.875,44.625,0
-62.625,44.625,0
-62.375,44.625,0
-62.125,44.625,0
-61.875,44.625,0
-61.625,44.625,0
-61.375,44.625,0
-61.125,44.625,0
-60.875,44.625,0
-60.625,44.625,0
-60.375,44.625,0
-60.125,44.625,0
-59.875,44.625,0
-59.625,44.625,0
-59.375,44.625,0
-59.125,44.625,0
-58.875,44.625,0
-58.625,44.625,0
-58.375,44.625,0
-58.125,44.625,0
-57.875,44.625,0
-57.625,44.625,0
-57.375,44.625,0
-57.125,44.625,0
-56.875,44.625,0
-56.625,44.625,0
-56.375,44.625,0
-56.125,44.625,0
-55.875,44.625,0
-55.625,44.625,0
-55.375,44.625,0
-55.125,44.625,0
-54.875,44.625,0
-54.625,44.625,0
-54.375,44.625,0
-54.125,44.625,0
-53.875,44.625,0
-53.625,44.625,0
-53.375,44.625,0
-53.125,44.625,0
-52.875,44.625,0
-52.625,44.625,0
-52.375,44.625,0
-52.125,44.625,0
-51.875,44.625,0
-51.625,44.625,0
-51.375,44.625,0
-51.125,44.625,0
-50.875,44.625,0
-50.625,44.625,0
-50.375,44.625,0
-50.125,44.625,0
-49.875,44.625,0
-49.625,44.625,0
-49.375,44.625,0
-49.125,44.625,0
-48.875,44.625,0
-48.625,44.625,0
-48.375,44.625,0
-48.125,44.625,0
-47.875,44.625,0
-47.625,44.625,0
-47.375,44.625,0
-47.125,44.625,0
-46.875,44.625,0
-46.625,44.625,0
-46.375,44.625,0
-46.125,44.625,0
-45.875,44.625,0
-45.625,44.625,0
-45.375,44.625,0
-45.125,44.625,0
-44.875,44.625,0
-44.625,44.625,1.00941200927365e-13
-44.375,44.625,1.98607271037141e-13
-44.125,44.625,9.27348801048333e-13
-43.875,44.625,1.21858502021704e-12
-43.625,44.625,1.39767017404147e-12
-43.375,44.625,4.28800701543497e-12
-43.125,44.625,1.27330030200157e-11
-42.875,44.625,2.43872387561961e-11
-42.625,44.625,4.3784462167018e-11
-42.375,44.625,5.34551396202954e-11
-42.125,44.625,6.03021174661045e-11
-41.875,44.625,2.21836195246627e-11
-41.625,44.625,1.24585593577753e-11
-41.375,44.625,5.30725723785208e-12
-41.125,44.625,1.46721579330489e-10
-40.875,44.625,2.69641444589075e-11
-40.625,44.625,6.60770882454642e-11
-40.375,44.625,1.4978189522008e-10
-40.125,44.625,1.11001374758501e-10
-39.875,44.625,2.13465592424633e-10
-39.625,44.625,3.06516922954359e-10
-39.375,44.625,4.66015892541805e-10
-39.125,44.625,4.00780936216094e-10
-38.875,44.625,4.38276692715789e-10
-38.625,44.625,3.53739676439702e-10
-38.375,44.625,4.61860272249481e-10
-38.125,44.625,7.43815731230058e-10
-37.875,44.625,6.85127621302684e-10
-37.625,44.625,3.264497283606e-10
-37.375,44.625,5.48894152352375e-10
-37.125,44.625,5.86476145425507e-10
-36.875,44.625,6.89044710178166e-10
-36.625,44.625,1.72650360674709e-09
-36.375,44.625,3.27737281757834e-09
-36.125,44.625,3.73980224566139e-09
-35.875,44.625,6.04164229756066e-09
-35.625,44.625,6.22702334140968e-09
-35.375,44.625,5.58424373409139e-09
-35.125,44.625,3.83758314015381e-09
-34.875,44.625,1.87966175957399e-09
-34.625,44.625,1.43602330027193e-09
-34.375,44.625,7.45590880701918e-11
-34.125,44.625,1.97506698496053e-11
-33.875,44.625,1.30419411381588e-10
-33.625,44.625,9.44177735995311e-10
-33.375,44.625,6.25548335353443e-10
-33.125,44.625,6.28603002983397e-10
-32.875,44.625,5.7248955576128e-10
-32.625,44.625,2.82389611694356e-10
-32.375,44.625,3.61518259772708e-10
-32.125,44.625,2.0075230366956e-10
-31.875,44.625,1.55783400068721e-10
-31.625,44.625,1.67592217881207e-10
-31.375,44.625,1.48144510547787e-10
-31.125,44.625,1.14154713459769e-10
-30.875,44.625,9.12687286858116e-11
-30.625,44.625,3.25153792779531e-11
-30.375,44.625,2.42896484176081e-11
-30.125,44.625,3.56144835844674e-11
-29.875,44.625,2.24901243461861e-11
-29.625,44.625,2.63235197528466e-11
-29.375,44.625,1.90678271783096e-11
-29.125,44.625,2.93481280944086e-11
-28.875,44.625,5.22811178030325e-12
-28.625,44.625,4.81364351590657e-13
-28.375,44.625,8.57656990132377e-13
-28.125,44.625,2.48207183972671e-11
-27.875,44.625,3.7663465011703e-13
-27.625,44.625,1.19653939534281e-12
-27.375,44.625,6.48960225835271e-12
-27.125,44.625,2.21507395758991e-11
-26.875,44.625,5.51524867442588e-11
-26.625,44.625,1.07184545961037e-10
-26.375,44.625,5.16919146376082e-11
-26.125,44.625,6.28702367944101e-11
-25.875,44.625,1.05632211311324e-10
-25.625,44.625,1.28893284934151e-10
-25.375,44.625,5.40403052168292e-12
-25.125,44.625,1.54791856415981e-11
-24.875,44.625,1.59864593785031e-10
-24.625,44.625,3.31945360088071e-10
-24.375,44.625,2.38677497904627e-11
-24.125,44.625,1.99719435434176e-10
-23.875,44.625,3.17232240476528e-10
-23.625,44.625,1.64344052255849e-10
-23.375,44.625,2.29973318166543e-10
-23.125,44.625,2.69478162007175e-10
-22.875,44.625,4.29988988859265e-10
-22.625,44.625,3.51234485940211e-10
-22.375,44.625,2.67892902305888e-10
-22.125,44.625,2.07614425651315e-10
-21.875,44.625,1.9907141213249e-10
-21.625,44.625,1.3218898198275e-10
-21.375,44.625,1.43945827479897e-10
-21.125,44.625,8.39406946728793e-11
-20.875,44.625,4.13809715660296e-11
-20.625,44.625,1.249392516528e-11
-20.375,44.625,5.38611082817608e-12
-20.125,44.625,5.8915424622219e-12
-19.875,44.625,1.10235535977221e-11
-19.625,44.625,5.53073776013435e-12
-19.375,44.625,1.21493492349911e-11
-19.125,44.625,2.1763953486631e-12
-18.875,44.625,1.58209053496838e-11
-18.625,44.625,3.87741748431036e-12
-18.375,44.625,6.18306968125371e-12
