"Longitude","Latitude","HabitatChange"
49.125,30.125,0.00848492607474327
49.375,30.125,0.0493187680840492
49.875,30.125,0.0235819220542908
48.375,29.875,4.471117790672e-06
48.625,29.875,6.95071139489301e-05
48.875,29.875,0.000918184290640056
49.125,29.875,0.00460731470957398
49.375,29.875,0.0863248705863953
49.625,29.875,0.127548336982727
49.875,29.875,0.00612819194793701
50.125,29.875,0.000665843486785889
32.375,29.625,-1.37090682983398e-06
32.625,29.625,-1.72853469848633e-06
48.375,29.625,0.00021967789507471
48.625,29.625,0.000412743887864053
48.875,29.625,0.00200024945661426
49.125,29.625,0.013671925291419
49.375,29.625,0.211836993694305
49.625,29.625,0.00168102979660034
49.875,29.625,0.00026017427444458
50.125,29.625,0.000103533267974854
50.375,29.625,3.4630298614502e-05
32.625,29.375,-3.57627868652344e-06
34.875,29.375,-3.21865081787109e-06
47.875,29.375,0.0042516989633441
48.125,29.375,0.00535495392978191
48.375,29.375,0.00438851583749056
48.625,29.375,0.00262710195966065
48.875,29.375,0.00634105317294598
49.125,29.375,0.0256339907646179
49.375,29.375,0.000720560550689697
49.625,29.375,0.000121355056762695
49.875,29.375,4.69684600830078e-05
50.125,29.375,2.50935554504395e-05
50.375,29.375,1.53183937072754e-05
50.625,29.375,1.0073184967041e-05
32.875,29.125,0
34.875,29.125,-3.51667404174805e-06
48.375,29.125,0.00312621449120343
48.625,29.125,0.00306779867969453
48.875,29.125,0.0683748573064804
49.125,29.125,0.00120091438293457
49.375,29.125,0.000107705593109131
49.625,29.125,3.75509262084961e-05
49.875,29.125,1.82390213012695e-05
50.125,29.125,9.00030136108398e-06
50.375,29.125,7.74860382080078e-06
50.625,29.125,5.96046447753906e-06
32.875,28.875,5.96046447753906e-08
33.125,28.875,0
48.375,28.875,0.0042815231718123
48.625,28.875,0.0298694297671318
48.875,28.875,0.00381338596343994
49.125,28.875,0.000101923942565918
49.375,28.875,5.3107738494873e-05
49.625,28.875,2.29477882385254e-05
49.875,28.875,7.33137130737305e-06
50.125,28.875,6.67572021484375e-06
50.375,28.875,8.16583633422852e-06
50.625,28.875,4.82797622680664e-06
32.875,28.625,0
33.125,28.625,-1.19209289550781e-07
34.625,28.625,-1.43647193908691e-05
48.625,28.625,-0.00258976221084595
48.875,28.625,0.000871479511260986
49.125,28.625,7.91549682617188e-05
49.375,28.625,3.7848949432373e-05
49.625,28.625,1.71065330505371e-05
49.875,28.625,6.79492950439453e-06
50.125,28.625,1.54972076416016e-06
50.375,28.625,3.57627868652344e-06
50.625,28.625,3.99351119995117e-06
50.875,28.625,1.54972076416016e-06
33.125,28.375,-7.15255737304688e-07
33.375,28.375,-1.19209289550781e-06
34.625,28.375,-2.36630439758301e-05
48.625,28.375,0.00173225253820419
48.875,28.375,-0.0420385599136353
49.125,28.375,0.000172734260559082
49.375,28.375,5.19156455993652e-05
49.625,28.375,6.55651092529297e-06
49.875,28.375,5.30481338500977e-06
50.125,28.375,6.25848770141602e-06
50.375,28.375,8.70227813720703e-06
50.625,28.375,1.09672546386719e-05
50.875,28.375,4.58955764770508e-06
51.125,28.375,2.14576721191406e-06
33.375,28.125,-3.814697265625e-06
33.625,28.125,-3.814697265625e-06
48.625,28.125,0.00607091188430786
48.875,28.125,0.00434350222349167
49.125,28.125,-0.0462689995765686
49.375,28.125,-0.000126361846923828
49.625,28.125,8.34465026855469e-06
49.875,28.125,3.57627868652344e-06
50.125,28.125,4.23192977905273e-06
50.375,28.125,6.3776969909668e-06
50.625,28.125,5.54323196411133e-06
50.875,28.125,8.10623168945312e-06
51.125,28.125,6.9737434387207e-06
33.625,27.875,-6.3776969909668e-06
33.875,27.875,-1.23381614685059e-05
34.375,27.875,-9.39369201660156e-05
34.625,27.875,-7.12871551513672e-05
34.875,27.875,-9.41753387451172e-05
35.125,27.875,-5.01275062561035e-05
48.875,27.875,0.00953497737646103
49.125,27.875,-0.0317261815071106
49.375,27.875,-0.00292521715164185
49.625,27.875,-2.9444694519043e-05
49.875,27.875,4.76837158203125e-07
50.125,27.875,3.57627868652344e-06
50.375,27.875,1.78813934326172e-06
50.625,27.875,6.67572021484375e-06
50.875,27.875,9.05990600585938e-06
51.125,27.875,1.30534172058105e-05
51.375,27.875,4.05311584472656e-06
33.625,27.625,-5.0663948059082e-06
33.875,27.625,-2.4259090423584e-05
34.125,27.625,-0.00011974573135376
34.375,27.625,-0.000276267528533936
34.625,27.625,-0.00037229061126709
34.875,27.625,-0.000296115875244141
35.125,27.625,-0.000229239463806152
35.375,27.625,-0.000108718872070312
48.875,27.625,0.0147934406995773
49.125,27.625,0.00927335768938065
49.375,27.625,-0.0422967076301575
49.625,27.625,-0.0015445351600647
49.875,27.625,-1.06692314147949e-05
50.125,27.625,8.34465026855469e-07
50.375,27.625,8.76188278198242e-06
50.625,27.625,7.33137130737305e-06
50.875,27.625,2.34246253967285e-05
51.125,27.625,2.53915786743164e-05
51.375,27.625,1.56164169311523e-05
51.625,27.625,9.00030136108398e-06
51.875,27.625,1.50799751281738e-05
52.125,27.625,2.30073928833008e-05
52.375,27.625,9.77516174316406e-06
33.875,27.375,-3.27229499816895e-05
34.125,27.375,-0.000153005123138428
34.375,27.375,-0.000410676002502441
34.625,27.375,-0.000583887100219727
34.875,27.375,-0.000528097152709961
35.125,27.375,-0.000408649444580078
35.375,27.375,-0.000355839729309082
35.625,27.375,-0.000150740146636963
49.375,27.375,-0.0359578430652618
49.625,27.375,-0.0271053314208984
49.875,27.375,-8.04662704467773e-05
50.125,27.375,3.27825546264648e-06
50.375,27.375,2.92062759399414e-06
50.625,27.375,7.74860382080078e-06
50.875,27.375,3.1590461730957e-05
51.125,27.375,5.11407852172852e-05
51.375,27.375,5.77569007873535e-05
51.625,27.375,4.74452972412109e-05
51.875,27.375,5.94258308410645e-05
52.125,27.375,6.4849853515625e-05
52.375,27.375,5.22136688232422e-05
33.875,27.125,-3.45706939697266e-05
34.125,27.125,-0.000149667263031006
34.375,27.125,-0.000384688377380371
34.625,27.125,-0.000795304775238037
34.875,27.125,-0.00084376335144043
35.125,27.125,-0.000673294067382812
35.375,27.125,-0.000581324100494385
35.625,27.125,-0.000346124172210693
49.625,27.125,-0.00626376271247864
49.875,27.125,-0.0103169679641724
50.125,27.125,-1.99675559997559e-05
50.375,27.125,9.59634780883789e-06
50.625,27.125,6.85453414916992e-06
50.875,27.125,2.85506248474121e-05
51.125,27.125,2.81929969787598e-05
51.375,27.125,5.78165054321289e-05
51.625,27.125,9.82284545898438e-05
51.875,27.125,0.00014650821685791
52.125,27.125,9.70363616943359e-05
52.375,27.125,9.36388969421387e-05
52.625,27.125,8.40425491333008e-05
52.875,27.125,5.19156455993652e-05
56.125,27.125,0.00749450922012329
56.375,27.125,0.00300335884094238
56.625,27.125,0.00159162282943726
34.125,26.875,-0.000138461589813232
34.375,26.875,-0.000266015529632568
34.625,26.875,-0.000562071800231934
34.875,26.875,-0.000906705856323242
35.125,26.875,-0.000869512557983398
35.375,26.875,-0.000683903694152832
35.625,26.875,-0.000628113746643066
35.875,26.875,-0.000255346298217773
49.875,26.875,0.00298047065734863
50.125,26.875,-0.001018226146698
50.375,26.875,0.000181257724761963
50.625,26.875,-4.91142272949219e-05
50.875,26.875,3.93390655517578e-05
51.125,26.875,1.62124633789062e-05
51.375,26.875,3.11136245727539e-05
51.625,26.875,7.37309455871582e-05
51.875,26.875,0.00017160177230835
52.125,26.875,0.000192224979400635
52.375,26.875,0.000140964984893799
52.625,26.875,0.000140845775604248
52.875,26.875,0.000135064125061035
53.125,26.875,6.89029693603516e-05
53.375,26.875,7.25388526916504e-05
55.625,26.875,0.0288670063018799
55.875,26.875,0.0101861357688904
56.125,26.875,0.00204414129257202
56.375,26.875,0.00202488899230957
56.625,26.875,0.00226050615310669
56.875,26.875,0.00205659866333008
34.125,26.625,-0.000110745429992676
34.375,26.625,-0.000235855579376221
34.625,26.625,-0.000355422496795654
34.875,26.625,-0.000486910343170166
35.125,26.625,-0.000903487205505371
35.375,26.625,-0.000813722610473633
35.625,26.625,-0.000765979290008545
35.875,26.625,-0.000621199607849121
36.125,26.625,-0.000222921371459961
50.125,26.625,0.0170703530311584
50.375,26.625,0.00652021169662476
50.625,26.625,0.00185531377792358
50.875,26.625,0.000265657901763916
51.125,26.625,4.82797622680664e-05
51.375,26.625,2.88486480712891e-05
51.625,26.625,4.26173210144043e-05
51.875,26.625,8.54730606079102e-05
52.125,26.625,0.00019150972366333
52.375,26.625,0.00016486644744873
52.625,26.625,0.000112175941467285
52.875,26.625,0.000118613243103027
53.125,26.625,8.17179679870605e-05
53.375,26.625,0.000148892402648926
53.625,26.625,0.000187933444976807
53.875,26.625,0.000169873237609863
54.125,26.625,0.000281095504760742
54.375,26.625,0.000683307647705078
55.125,26.625,-0.001212477684021
55.375,26.625,0.000878512859344482
55.625,26.625,0.00111901760101318
55.875,26.625,0.00123453140258789
56.125,26.625,0.00128698348999023
56.375,26.625,0.00130778551101685
56.625,26.625,0.00168818235397339
56.875,26.625,0.00263410806655884
34.375,26.375,-0.000181674957275391
34.625,26.375,-0.000244379043579102
34.875,26.375,-0.000263392925262451
35.125,26.375,-0.000594198703765869
35.375,26.375,-0.000932991504669189
35.625,26.375,-0.00100034475326538
35.875,26.375,-0.000918030738830566
36.125,26.375,-0.000831425189971924
50.375,26.375,0.033862829208374
50.625,26.375,0.00464844703674316
50.875,26.375,0.00192683935165405
51.125,26.375,0.000416755676269531
51.375,26.375,6.7293643951416e-05
51.625,26.375,1.59740447998047e-05
51.875,26.375,3.0815601348877e-05
52.125,26.375,7.69495964050293e-05
52.375,26.375,0.000161707401275635
52.625,26.375,0.000115513801574707
52.875,26.375,7.65323638916016e-05
53.125,26.375,7.77840614318848e-05
53.375,26.375,0.000128269195556641
53.625,26.375,0.000144541263580322
53.875,26.375,0.000227391719818115
54.125,26.375,0.000302135944366455
54.375,26.375,0.000526905059814453
54.625,26.375,0.000830531120300293
54.875,26.375,0.00149750709533691
55.125,26.375,0.0011860728263855
55.375,26.375,0.0011448860168457
55.625,26.375,0.00147426128387451
55.875,26.375,0.0011669397354126
56.125,26.375,0.000514328479766846
56.625,26.375,0.00131106376647949
56.875,26.375,0.00342267751693726
34.375,26.125,-0.000152945518493652
34.625,26.125,-0.000220060348510742
34.875,26.125,-0.000267982482910156
35.125,26.125,-0.000522911548614502
35.375,26.125,-0.00114566087722778
35.625,26.125,-0.00180220603942871
35.875,26.125,-0.00135934352874756
36.125,26.125,-0.00111812353134155
36.375,26.125,-0.000703394412994385
50.375,26.125,0.0400663278996944
50.625,26.125,0.0723465159535408
50.875,26.125,0.189303934574127
51.125,26.125,0.0562993288040161
51.375,26.125,0.0043148398399353
51.625,26.125,0.000351011753082275
51.875,26.125,2.45571136474609e-05
52.125,26.125,3.90410423278809e-05
52.375,26.125,7.95125961303711e-05
52.625,26.125,6.69360160827637e-05
52.875,26.125,7.56978988647461e-05
53.125,26.125,0.000119328498840332
53.375,26.125,0.000104308128356934
53.625,26.125,9.85860824584961e-05
53.875,26.125,0.00011444091796875
54.125,26.125,0.00012582540512085
54.375,26.125,0.000198543071746826
54.625,26.125,0.000461101531982422
54.875,26.125,0.000527381896972656
55.125,26.125,0.000379621982574463
55.375,26.125,0.000421106815338135
55.625,26.125,0.000340461730957031
55.875,26.125,0.000199496746063232
56.375,26.125,0.000418782234191895
56.625,26.125,0.00169050693511963
56.875,26.125,0.00308859348297119
57.125,26.125,0.00293517112731934
34.625,25.875,-0.000188946723937988
34.875,25.875,-0.000305414199829102
35.125,25.875,-0.000496327877044678
35.375,25.875,-0.00130259990692139
35.625,25.875,-0.00196975469589233
35.875,25.875,-0.00194096565246582
36.125,25.875,-0.00186747312545776
36.375,25.875,-0.00165075063705444
36.625,25.875,-0.0016283392906189
50.125,25.875,0.0206406340003014
