"Longitude","Latitude","HabitatChange"
119.625,39.875,0
119.875,39.875,0
120.125,39.875,0
120.375,39.875,0
120.625,39.875,0
120.875,39.875,0
121.125,39.875,0
121.375,39.875,0
121.625,39.875,0
123.375,39.875,-2.18688172497032e-13
123.625,39.875,0
123.875,39.875,0
124.125,39.875,0
127.875,39.875,2.89761704214131e-13
128.125,39.875,2.41798795612772e-13
128.375,39.875,7.37785863218904e-13
128.625,39.875,3.97526846510066e-12
128.875,39.875,6.57444368043492e-12
129.125,39.875,3.54969569363317e-12
129.375,39.875,1.88406386845974e-12
129.625,39.875,1.87986562080744e-12
129.875,39.875,9.02770696739608e-13
130.125,39.875,7.56982475834389e-13
130.375,39.875,5.41305390268365e-13
130.625,39.875,5.49659818528669e-13
130.875,39.875,5.49705463440131e-13
131.125,39.875,3.24299994410721e-13
131.375,39.875,2.01758111628182e-13
131.625,39.875,1.21472547732343e-13
131.875,39.875,9.36479558721719e-14
132.125,39.875,0
132.375,39.875,0
132.625,39.875,9.8486086094144e-14
132.875,39.875,1.66354641650476e-13
133.125,39.875,4.26637837471627e-13
133.375,39.875,1.3205410072728e-12
133.625,39.875,6.69560056270474e-13
133.875,39.875,2.98695177749705e-13
134.125,39.875,1.65445470366211e-13
134.375,39.875,1.19020746492011e-13
134.625,39.875,0
134.875,39.875,0
135.125,39.875,0
135.375,39.875,0
135.625,39.875,0
135.875,39.875,0
136.125,39.875,1.02701674204939e-13
136.375,39.875,2.23004489765914e-13
136.625,39.875,3.95955891772243e-13
136.875,39.875,5.46321776880021e-13
137.125,39.875,8.10479992580798e-13
137.375,39.875,9.04163733900926e-13
137.625,39.875,8.49681002640379e-13
137.875,39.875,8.70507496381762e-13
138.125,39.875,1.13907657178086e-12
138.375,39.875,2.24157346330467e-12
138.625,39.875,8.99866813008909e-12
138.875,39.875,3.98981889193628e-11
139.125,39.875,1.98748961732775e-10
139.375,39.875,1.27151245088442e-09
139.625,39.875,1.66823987957088e-09
139.875,39.875,2.23547069744257e-10
140.125,39.875,7.95213894733138e-11
142.125,39.875,8.86365286723034e-12
142.375,39.875,7.29358305522065e-13
142.625,39.875,0
142.875,39.875,0
143.125,39.875,0
143.375,39.875,0
143.625,39.875,0
143.875,39.875,0
144.125,39.875,0
144.375,39.875,0
144.625,39.875,0
144.875,39.875,0
145.125,39.875,0
145.375,39.875,0
145.625,39.875,0
145.875,39.875,0
146.125,39.875,0
146.375,39.875,0
146.625,39.875,0
146.875,39.875,0
147.125,39.875,0
147.375,39.875,0
147.625,39.875,0
147.875,39.875,0
148.125,39.875,1.64407495863855e-13
148.375,39.875,5.93320314754009e-13
148.625,39.875,4.30562877018481e-12
148.875,39.875,8.65464904603597e-12
149.125,39.875,2.29110198694815e-12
149.375,39.875,1.35939350054404e-11
149.625,39.875,2.28187716118378e-12
149.875,39.875,1.62070964287997e-12
150.125,39.875,6.29913764378653e-13
150.375,39.875,0
150.625,39.875,0
150.875,39.875,0
151.125,39.875,0
151.375,39.875,0
151.625,39.875,0
151.875,39.875,0
152.125,39.875,0
152.375,39.875,0
152.625,39.875,0
152.875,39.875,0
153.125,39.875,0
153.375,39.875,0
153.625,39.875,0
153.875,39.875,0
154.125,39.875,0
154.375,39.875,0
154.625,39.875,0
154.875,39.875,0
155.125,39.875,0
155.375,39.875,0
155.625,39.875,0
155.875,39.875,0
156.125,39.875,0
156.375,39.875,0
156.625,39.875,0
156.875,39.875,0
157.125,39.875,0
157.375,39.875,0
157.625,39.875,0
157.875,39.875,0
158.125,39.875,0
158.375,39.875,0
158.625,39.875,0
158.875,39.875,0
159.125,39.875,0
159.375,39.875,0
159.625,39.875,0
159.875,39.875,0
160.125,39.875,0
160.375,39.875,0
160.625,39.875,0
160.875,39.875,0
161.125,39.875,0
161.375,39.875,0
161.625,39.875,0
161.875,39.875,0
162.125,39.875,0
162.375,39.875,0
162.625,39.875,0
162.875,39.875,0
163.125,39.875,0
163.375,39.875,0
163.625,39.875,0
163.875,39.875,0
164.125,39.875,0
164.375,39.875,0
164.625,39.875,0
164.875,39.875,0
165.125,39.875,0
165.375,39.875,0
165.625,39.875,0
165.875,39.875,0
166.125,39.875,0
166.375,39.875,0
166.625,39.875,0
166.875,39.875,0
167.125,39.875,0
167.375,39.875,0
167.625,39.875,0
167.875,39.875,0
168.125,39.875,0
168.375,39.875,0
168.625,39.875,0
168.875,39.875,0
169.125,39.875,0
169.375,39.875,0
169.625,39.875,0
169.875,39.875,0
170.125,39.875,0
170.375,39.875,0
170.625,39.875,0
170.875,39.875,0
171.125,39.875,0
171.375,39.875,0
171.625,39.875,0
171.875,39.875,0
172.125,39.875,0
172.375,39.875,0
172.625,39.875,0
172.875,39.875,0
173.125,39.875,0
173.375,39.875,0
173.625,39.875,0
173.875,39.875,0
174.125,39.875,0
174.375,39.875,0
174.625,39.875,0
174.875,39.875,0
175.125,39.875,0
175.375,39.875,0
175.625,39.875,0
175.875,39.875,0
176.125,39.875,0
176.375,39.875,0
176.625,39.875,0
176.875,39.875,0
177.125,39.875,0
177.375,39.875,0
177.625,39.875,0
177.875,39.875,0
178.125,39.875,0
178.375,39.875,0
178.625,39.875,0
178.875,39.875,0
179.125,39.875,0
179.375,39.875,0
179.625,39.875,0
179.875,39.875,0
119.375,39.625,0
119.625,39.625,0
119.875,39.625,0
120.125,39.625,0
120.375,39.625,0
120.625,39.625,0
120.875,39.625,0
121.125,39.625,0
121.375,39.625,0
122.625,39.625,0
122.875,39.625,0
123.125,39.625,0
123.375,39.625,0
123.625,39.625,0
123.875,39.625,0
124.125,39.625,0
124.375,39.625,0
124.875,39.625,0
127.625,39.625,4.7071629363446e-13
127.875,39.625,1.00844940037481e-12
128.125,39.625,1.57712623342909e-12
128.375,39.625,7.60970886998225e-12
128.625,39.625,1.93057653197215e-11
128.875,39.625,1.3847548975543e-11
129.125,39.625,6.25254058597702e-12
129.375,39.625,3.86793722051415e-12
129.625,39.625,2.33244630207241e-12
129.875,39.625,2.45359028233638e-12
130.125,39.625,4.2610953827904e-12
130.375,39.625,4.02630186135955e-12
130.625,39.625,3.31353477642238e-12
130.875,39.625,2.34385839729956e-12
131.125,39.625,1.19485400306568e-12
131.375,39.625,6.98628275456331e-13
131.625,39.625,4.32777078063218e-13
131.875,39.625,3.40479787376211e-13
132.125,39.625,2.83102073684802e-13
132.375,39.625,3.50771197027769e-13
132.625,39.625,4.71904850266047e-13
132.875,39.625,7.52483036818574e-13
133.125,39.625,1.79273143639108e-12
133.375,39.625,4.25304149537231e-12
133.625,39.625,2.37024917922046e-12
133.875,39.625,1.26783392812024e-12
134.125,39.625,7.80861269741862e-13
134.375,39.625,3.30345803880097e-13
134.625,39.625,1.82137237150076e-13
134.875,39.625,1.1082682758708e-13
135.125,39.625,0
135.375,39.625,0
135.625,39.625,9.7000261555652e-14
135.875,39.625,1.28859826997209e-13
136.125,39.625,5.68672333615267e-13
136.375,39.625,7.51579625358351e-13
136.625,39.625,9.62730546325008e-13
136.875,39.625,1.40861302656836e-12
137.125,39.625,2.16363233752903e-12
137.375,39.625,3.35393800406092e-12
137.625,39.625,3.49409650518551e-12
137.875,39.625,2.74428982142971e-12
138.125,39.625,3.19025166527209e-12
138.375,39.625,9.07798922838987e-12
138.625,39.625,3.9002620577655e-11
138.875,39.625,9.59967799696315e-11
139.125,39.625,2.60222954295841e-10
139.375,39.625,1.15001619338528e-09
139.625,39.625,3.67739350082275e-09
139.875,39.625,7.0537691243544e-09
140.125,39.625,1.82467161380373e-08
142.125,39.625,6.6237553636439e-12
142.375,39.625,1.16399088718327e-12
142.625,39.625,1.05357217362271e-13
142.875,39.625,0
143.125,39.625,0
143.375,39.625,0
143.625,39.625,0
143.875,39.625,1.42318123431961e-13
144.125,39.625,0
144.375,39.625,0
144.625,39.625,0
144.875,39.625,0
145.125,39.625,0
145.375,39.625,0
145.625,39.625,0
145.875,39.625,0
146.125,39.625,0
146.375,39.625,0
146.625,39.625,0
146.875,39.625,0
147.125,39.625,0
147.375,39.625,1.08120076205889e-13
147.625,39.625,4.82283104511622e-13
147.875,39.625,1.33043565313934e-12
148.125,39.625,3.30429065185933e-12
148.375,39.625,5.3387615508993e-12
148.625,39.625,1.07746277178133e-11
148.875,39.625,2.61809671164848e-11
149.125,39.625,5.59227013655073e-12
149.375,39.625,2.35758136103714e-12
149.625,39.625,7.76228300386483e-12
149.875,39.625,1.28703167914801e-12
150.125,39.625,0
150.375,39.625,0
150.625,39.625,0
150.875,39.625,0
151.125,39.625,0
151.375,39.625,0
151.625,39.625,0
151.875,39.625,0
152.125,39.625,0
152.375,39.625,0
152.625,39.625,0
152.875,39.625,0
153.125,39.625,0
153.375,39.625,0
153.625,39.625,0
153.875,39.625,0
154.125,39.625,0
154.375,39.625,0
154.625,39.625,0
154.875,39.625,0
155.125,39.625,0
155.375,39.625,0
155.625,39.625,0
155.875,39.625,0
156.125,39.625,0
156.375,39.625,0
156.625,39.625,0
156.875,39.625,0
157.125,39.625,0
157.375,39.625,0
157.625,39.625,0
157.875,39.625,0
158.125,39.625,0
158.375,39.625,0
158.625,39.625,0
158.875,39.625,0
159.125,39.625,0
159.375,39.625,0
159.625,39.625,0
159.875,39.625,0
160.125,39.625,0
160.375,39.625,0
160.625,39.625,0
160.875,39.625,0
161.125,39.625,0
161.375,39.625,0
161.625,39.625,0
161.875,39.625,0
162.125,39.625,0
162.375,39.625,0
162.625,39.625,0
162.875,39.625,0
163.125,39.625,0
163.375,39.625,0
163.625,39.625,0
163.875,39.625,0
164.125,39.625,0
164.375,39.625,0
164.625,39.625,0
164.875,39.625,0
165.125,39.625,0
165.375,39.625,0
165.625,39.625,0
165.875,39.625,0
166.125,39.625,0
166.375,39.625,0
166.625,39.625,0
166.875,39.625,0
167.125,39.625,0
167.375,39.625,0
167.625,39.625,0
167.875,39.625,0
168.125,39.625,0
168.375,39.625,0
168.625,39.625,0
168.875,39.625,0
169.125,39.625,0
169.375,39.625,0
169.625,39.625,0
169.875,39.625,0
170.125,39.625,0
170.375,39.625,0
170.625,39.625,0
170.875,39.625,0
171.125,39.625,0
171.375,39.625,0
171.625,39.625,0
171.875,39.625,0
172.125,39.625,0
172.375,39.625,0
172.625,39.625,0
172.875,39.625,0
173.125,39.625,0
173.375,39.625,0
173.625,39.625,0
173.875,39.625,0
174.125,39.625,0
174.375,39.625,0
174.625,39.625,0
174.875,39.625,0
175.125,39.625,0
175.375,39.625,0
175.625,39.625,0
175.875,39.625,0
176.125,39.625,0
176.375,39.625,0
176.625,39.625,0
176.875,39.625,0
177.125,39.625,0
177.375,39.625,0
177.625,39.625,0
177.875,39.625,0
178.125,39.625,0
178.375,39.625,0
178.625,39.625,0
178.875,39.625,0
179.125,39.625,0
179.375,39.625,0
179.625,39.625,0
179.875,39.625,0
119.375,39.375,0
119.625,39.375,0
119.875,39.375,0
120.125,39.375,0
120.375,39.375,0
120.625,39.375,0
120.875,39.375,-2.0278440385213e-12
121.125,39.375,-7.39244874082418e-13
121.375,39.375,0
121.625,39.375,0
122.125,39.375,0
122.375,39.375,0
122.625,39.375,0
122.875,39.375,0
123.125,39.375,1.15268729348854e-13
123.375,39.375,4.62004702073485e-14
123.625,39.375,0
123.875,39.375,0
124.125,39.375,0
124.375,39.375,0
124.625,39.375,0
124.875,39.375,0
125.125,39.375,0
125.375,39.375,0
127.625,39.375,9.2446883481756e-13
127.875,39.375,1.82799435310965e-12
128.125,39.375,3.76951725042374e-12
128.375,39.375,1.79975617742301e-11
128.625,39.375,2.40695154779536e-11
128.875,39.375,1.6801579225123e-11
129.125,39.375,9.74554551641527e-12
129.375,39.375,6.96075272074714e-12
129.625,39.375,8.01565931685122e-12
129.875,39.375,1.24009413848825e-11
130.125,39.375,8.21408479428909e-12
130.375,39.375,6.2933859512615e-12
130.625,39.375,4.53192301394512e-12
130.875,39.375,2.56955719722674e-12
131.125,39.375,2.2806572168993e-12
